experiment,game,method,seed,budget,best_welfare,welfare_gap,cumulative_welfare_gap,payoff_dominant_found,first_hit_budget
restart_selection,stag_hunt,standard_pg,2,11,7.747462666927035,0.252537333072965,7.004805296074486,1,2
restart_selection,stag_hunt,standard_pg,2,12,7.747462666927035,0.252537333072965,7.257342629147451,1,2
restart_selection,stag_hunt,standard_pg,3,1,7.763271053581087,0.2367289464189133,0.2367289464189133,1,1
restart_selection,stag_hunt,standard_pg,3,2,7.763271053581087,0.2367289464189133,0.4734578928378266,1,1
restart_selection,stag_hunt,standard_pg,3,3,7.786669438565061,0.21333056143493856,0.6867884542727651,1,1
restart_selection,stag_hunt,standard_pg,3,4,7.786669438565061,0.21333056143493856,0.9001190157077037,1,1
restart_selection,stag_hunt,standard_pg,3,5,7.786669438565061,0.21333056143493856,1.1134495771426423,1,1
restart_selection,stag_hunt,standard_pg,3,6,7.786669438565061,0.21333056143493856,1.3267801385775808,1,1
restart_selection,stag_hunt,standard_pg,3,7,7.786669438565061,0.21333056143493856,1.5401107000125194,1,1
restart_selection,stag_hunt,standard_pg,3,8,7.786669438565061,0.21333056143493856,1.753441261447458,1,1
restart_selection,stag_hunt,standard_pg,3,9,7.786669438565061,0.21333056143493856,1.9667718228823965,1,1
restart_selection,stag_hunt,standard_pg,3,10,7.786669438565061,0.21333056143493856,2.180102384317335,1,1
restart_selection,stag_hunt,standard_pg,3,11,7.786669438565061,0.21333056143493856,2.3934329457522736,1,1
restart_selection,stag_hunt,standard_pg,3,12,7.786669438565061,0.21333056143493856,2.606763507187212,1,1
restart_selection,stag_hunt,standard_pg,4,1,3.9735298914586945,4.0264701085413055,4.0264701085413055,0,13
restart_selection,stag_hunt,standard_pg,4,2,3.975771085530157,4.024228914469843,8.050699023011148,0,13
restart_selection,stag_hunt,standard_pg,4,3,3.975771085530157,4.024228914469843,12.074927937480991,0,13
restart_selection,stag_hunt,standard_pg,4,4,7.659093959195133,0.3409060408048674,12.415833978285859,1,4
restart_selection,stag_hunt,standard_pg,4,5,7.659093959195133,0.3409060408048674,12.756740019090726,1,4
restart_selection,stag_hunt,standard_pg,4,6,7.659093959195133,0.3409060408048674,13.097646059895593,1,4
restart_selection,stag_hunt,standard_pg,4,7,7.659093959195133,0.3409060408048674,13.438552100700461,1,4
restart_selection,stag_hunt,standard_pg,4,8,7.7161459475593555,0.28385405244064454,13.722406153141105,1,4
restart_selection,stag_hunt,standard_pg,4,9,7.7161459475593555,0.28385405244064454,14.00626020558175,1,4
restart_selection,stag_hunt,standard_pg,4,10,7.7161459475593555,0.28385405244064454,14.290114258022395,1,4
